scenario,arm,arm_label,lambda,cost_std,seed,horizon,cycle,price,observed_demand,estimated_elasticity,true_elasticity,residual_bias,realized_profit,oracle_price,oracle_profit,cumulative_regret
reference,greedy,Naive (greedy),0.6,0.3,2,200,41,24.58324017580741,0.6789531798638779,-3.9737248750870063e-16,-1.5,1.4999999999999996,15.896065798782741,2.341260969124517,27.0451674082685,485.6329141067973
reference,greedy,Naive (greedy),0.6,0.3,2,200,42,21.57019605744531,0.9407856106708979,-3.9737248750870063e-16,-1.5,1.4999999999999996,19.326600066852077,2.054304386423365,32.88044983427322,499.1867638742184
reference,greedy,Naive (greedy),0.6,0.3,2,200,43,22.030757318702786,0.9187206686492978,-3.9737248750870063e-16,-1.5,1.4999999999999996,19.276297233037177,2.0981673636859814,32.79417295617404,512.7046395973553
reference,greedy,Naive (greedy),0.6,0.3,2,200,44,27.037782895416242,0.6197620615834383,-8.131292556227999e-17,-1.5,1.5,15.95904006467485,2.575026942420597,27.150240378225405,523.8958399109058
reference,greedy,Naive (greedy),0.6,0.3,2,200,45,16.29237663201828,1.7862175491731604,-8.131292556227999e-17,-1.5,1.5,27.71593243604739,1.5516549173350755,47.151089420030765,543.3309968948892
reference,greedy,Naive (greedy),0.6,0.3,2,200,46,14.495628212550294,2.161290883424717,-8.131292556227999e-17,-1.5,1.5,29.83739914790388,1.3805360202428862,50.75995615284185,564.2535538998271
reference,greedy,Naive (greedy),0.6,0.3,2,200,47,12.324791737843663,2.8533347407905554,-8.131292556227999e-17,-1.5,1.5,33.492148989140695,1.173789689318445,56.97729475701211,587.7386996676985
reference,greedy,Naive (greedy),0.6,0.3,2,200,48,18.99096738893549,1.138075899179744,1.1115572812583806e-16,-1.5,1.5000000000000002,20.58396408329138,1.8086635608510004,35.017630850184055,602.1723664345911
reference,greedy,Naive (greedy),0.6,0.3,2,200,49,26.379027994047835,0.6010110586406487,1.1115572812583806e-16,-1.5,1.5000000000000002,15.09913099106095,2.51228838038551,25.686708806437696,612.7599442499679
reference,greedy,Naive (greedy),0.6,0.3,2,200,50,20.079419401560905,1.113552312268087,1.1115572812583806e-16,-1.5,1.5000000000000002,21.294746574865556,1.9123256572915162,36.22663386879585,627.6918315438983
reference,greedy,Naive (greedy),0.6,0.3,2,200,51,25.453694382251534,0.692564791387439,1.1115572812583806e-16,-1.5,1.5000000000000002,16.788888133222535,2.424161369738243,28.56123460577513,639.4641780164509
reference,greedy,Naive (greedy),0.6,0.3,2,200,52,14.73471572705211,2.147056613299912,1.1120196740758497e-16,-1.5,1.5000000000000002,30.12977985415376,1.40330625971925,51.25669707282643,660.5910952351236
reference,greedy,Naive (greedy),0.6,0.3,2,200,53,18.243083796782773,1.3313035472619752,1.1120196740758497e-16,-1.5,1.5000000000000002,23.130554449194637,1.7374365520745516,39.34962002285606,676.810160808785
reference,greedy,Naive (greedy),0.6,0.3,2,200,54,16.68886003908535,1.5738535495370782,1.1120196740758497e-16,-1.5,1.5000000000000002,25.015068200230452,1.589415241817654,42.55553309861316,694.3506257071676
reference,greedy,Naive (greedy),0.6,0.3,2,200,55,14.440100519905084,2.0603458980554383,1.1120196740758497e-16,-1.5,1.5000000000000002,28.334858927328227,1.37524766856239,48.20313591347192,714.2189026933113
reference,greedy,Naive (greedy),0.6,0.3,2,200,56,36.684873317219235,0.30863474005868347,-1.558018261534933e-16,-1.5,1.4999999999999998,10.783072705091133,3.493797458782787,18.344112276636753,721.7799422648569
reference,greedy,Naive (greedy),0.6,0.3,2,200,57,27.11710391035688,0.6533537002217336,-1.558018261534933e-16,-1.5,1.4999999999999998,16.873390646789435,2.5825813247958957,28.70492562159651,733.6114772396639
reference,greedy,Naive (greedy),0.6,0.3,2,200,58,16.70958107607641,1.7652413612592834,-1.558018261534933e-16,-1.5,1.4999999999999998,28.091851090290938,1.5913886739120404,47.789708870901656,753.3093350202746
