category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
LND,exploration,controlled_variance,0,0.6,0.015,0.2,loop,-3.41,-3.359,0.051,10693.98,323.79
LND,causal,twosls,0,0.6,0.015,0.2,loop,-3.41,-2.0,1.41,2215.7,67.09
LND,baseline,greedy,0,0.8,0.015,0.2,loop,-3.41,-3.3549,0.0551,5874.09,177.86
LND,exploration,controlled_variance,0,0.8,0.015,0.2,loop,-3.41,-3.3359,0.0741,27564.64,834.6
LND,causal,twosls,0,0.8,0.015,0.2,loop,-3.41,-2.0,1.41,3887.36,117.7
CER,baseline,greedy,0,0.0,0.012,0.51,loop,-2.48,-0.6783,1.8017,4062.63,88.98
CER,exploration,controlled_variance,0,0.0,0.012,0.51,loop,-2.48,-2.3275,0.1525,1827.93,40.03
CER,causal,twosls,0,0.0,0.012,0.51,loop,-2.48,-3.4942,1.0142,662.75,14.52
CER,baseline,greedy,0,0.1,0.012,0.51,loop,-2.48,-0.573,1.907,4086.78,89.51
CER,exploration,controlled_variance,0,0.1,0.012,0.51,loop,-2.48,-2.3693,0.1107,1914.63,41.93
CER,causal,twosls,0,0.1,0.012,0.51,loop,-2.48,-3.4247,0.9447,205.03,4.49
CER,baseline,greedy,0,0.2,0.012,0.51,loop,-2.48,-0.8244,1.6556,4113.9,90.1
CER,exploration,controlled_variance,0,0.2,0.012,0.51,loop,-2.48,-2.3549,0.1251,2098.03,45.95
CER,causal,twosls,0,0.2,0.012,0.51,loop,-2.48,-3.1049,0.6249,339.01,7.42
CER,baseline,greedy,0,0.3,0.012,0.51,loop,-2.48,-2.7164,0.2364,3905.77,85.54
CER,exploration,controlled_variance,0,0.3,0.012,0.51,loop,-2.48,-2.3761,0.1039,2354.31,51.56
CER,causal,twosls,0,0.3,0.012,0.51,loop,-2.48,-2.0,0.48,606.33,13.28
CER,baseline,greedy,0,0.4,0.012,0.51,loop,-2.48,-2.4853,0.0053,2658.87,58.23
CER,exploration,controlled_variance,0,0.4,0.012,0.51,loop,-2.48,-2.3725,0.1075,2686.81,58.84
CER,causal,twosls,0,0.4,0.012,0.51,loop,-2.48,-2.0,0.48,779.06,17.06
CER,baseline,greedy,0,0.6,0.012,0.51,loop,-2.48,-2.3305,0.1495,2209.32,48.39
CER,exploration,controlled_variance,0,0.6,0.012,0.51,loop,-2.48,-2.3974,0.0826,3711.34,81.28
CER,causal,twosls,0,0.6,0.012,0.51,loop,-2.48,-2.0,0.48,1218.4,26.68
CER,baseline,greedy,0,0.8,0.012,0.51,loop,-2.48,-2.3455,0.1345,2770.85,60.69
CER,exploration,controlled_variance,0,0.8,0.012,0.51,loop,-2.48,-2.3655,0.1145,5507.52,120.62
CER,causal,twosls,0,0.8,0.012,0.51,loop,-2.48,-2.0,0.48,1867.27,40.9
ANA,baseline,greedy,0,0.0,0.012,0.38,loop,-1.43,-0.2172,1.2128,3522.61,36.64
ANA,exploration,controlled_variance,0,0.0,0.012,0.38,loop,-1.43,-0.7969,0.6331,3817.39,39.71
ANA,causal,twosls,0,0.0,0.012,0.38,loop,-1.43,-1.5354,0.1054,338.33,3.52
ANA,baseline,greedy,0,0.1,0.012,0.38,loop,-1.43,-0.284,1.146,3592.01,37.37
ANA,exploration,controlled_variance,0,0.1,0.012,0.38,loop,-1.43,-0.8683,0.5617,3877.76,40.34
ANA,causal,twosls,0,0.1,0.012,0.38,loop,-1.43,-1.5088,0.0788,456.36,4.75
ANA,baseline,greedy,0,0.2,0.012,0.38,loop,-1.43,-0.4081,1.0219,3662.53,38.1
ANA,exploration,controlled_variance,0,0.2,0.012,0.38,loop,-1.43,-0.9271,0.5029,3939.28,40.98
ANA,causal,twosls,0,0.2,0.012,0.38,loop,-1.43,-1.1627,0.2673,1039.48,10.81
ANA,baseline,greedy,0,0.3,0.012,0.38,loop,-1.43,-0.5293,0.9007,3734.39,38.85
ANA,exploration,controlled_variance,0,0.3,0.012,0.38,loop,-1.43,-0.9562,0.4738,4002.25,41.63
ANA,causal,twosls,0,0.3,0.012,0.38,loop,-1.43,-2.0,0.57,903.3,9.4
ANA,baseline,greedy,0,0.4,0.012,0.38,loop,-1.43,-0.6433,0.7867,3807.87,39.61
ANA,exploration,controlled_variance,0,0.4,0.012,0.38,loop,-1.43,-1.0026,0.4274,4067.05,42.31
ANA,causal,twosls,0,0.4,0.012,0.38,loop,-1.43,-2.0,0.57,922.69,9.6
ANA,baseline,greedy,0,0.6,0.012,0.38,loop,-1.43,-0.848,0.582,3961.33,41.21
ANA,exploration,controlled_variance,0,0.6,0.012,0.38,loop,-1.43,-1.0785,0.3515,4177.01,43.45
ANA,causal,twosls,0,0.6,0.012,0.38,loop,-1.43,-2.0,0.57,1066.43,11.09
ANA,baseline,greedy,0,0.8,0.012,0.38,loop,-1.43,-0.9806,0.4494,4127.04,42.93
ANA,exploration,controlled_variance,0,0.8,0.012,0.38,loop,-1.43,-1.1677,0.2623,4111.24,42.77
ANA,causal,twosls,0,0.8,0.012,0.38,loop,-1.43,-2.0,0.57,1348.53,14.03
COO,baseline,greedy,0,0.0,0.009,0.39,loop,-2.69,-0.4123,2.2777,3897.82,91.56
COO,exploration,controlled_variance,0,0.0,0.009,0.39,loop,-2.69,-2.6267,0.0633,1835.25,43.11
COO,causal,twosls,0,0.0,0.009,0.39,loop,-2.69,-3.9494,1.2594,219.38,5.15
COO,baseline,greedy,0,0.1,0.009,0.39,loop,-2.69,-0.6075,2.0825,3918.9,92.06
